Filename,Prompt,Language,Score_Level,essay_len,num_sentence,noun_count,verb_count,adj_count,modal_count,noun_per_sentence,verb_per_sentence,adj_per_sentence,modal_per_sentence,the_count,aan_count,one_count,this_count,that_count,these_count,those_count,other_det_count,the_freq,aan_freq,one_freq,this_freq,that_freq,these_freq,those_freq,other_det_freq
16038.txt,P1,SPA,medium,254,6,72,46,17,6,12,7.666666667,2.833333333,1,35,4,0,5,0,0,0,1,0.137795276,0.015748031,0,0.019685039,0,0,0,0.003937008
21595.txt,P6,SPA,medium,303,15,74,64,22,8,4.933333333,4.266666667,1.466666667,0.533333333,18,19,0,1,0,0,0,6,0.059405941,0.062706271,0,0.00330033,0,0,0,0.01980198
22056.txt,P2,SPA,medium,338,10,76,79,21,11,7.6,7.9,2.1,1.1,14,10,0,1,3,0,0,2,0.041420118,0.029585799,0,0.00295858,0.00887574,0,0,0.00591716
23925.txt,P2,SPA,high,480,16,101,90,74,6,6.3125,5.625,4.625,0.375,19,13,0,4,1,3,0,2,0.039583333,0.027083333,0,0.008333333,0.002083333,0.00625,0,0.004166667
28532.txt,P4,SPA,low,210,7,42,38,12,5,6,5.428571429,1.714285714,0.714285714,21,7,0,0,1,0,0,0,0.1,0.033333333,0,0,0.004761905,0,0,0
28609.txt,P4,SPA,high,501,22,146,91,49,7,6.636363636,4.136363636,2.227272727,0.318181818,29,18,0,4,1,1,0,4,0.057884232,0.035928144,0,0.007984032,0.001996008,0.001996008,0,0.007984032
29693.txt,P5,SPA,medium,322,15,74,64,22,5,4.933333333,4.266666667,1.466666667,0.333333333,19,3,2,3,1,0,0,4,0.059006211,0.00931677,0.00621118,0.00931677,0.00310559,0,0,0.01242236
31998.txt,P1,SPA,high,341,15,79,56,26,10,5.266666667,3.733333333,1.733333333,0.666666667,22,16,5,3,3,0,0,4,0.064516129,0.046920821,0.014662757,0.008797654,0.008797654,0,0,0.011730205
32073.txt,P1,SPA,high,377,13,82,58,41,15,6.307692308,4.461538462,3.153846154,1.153846154,13,15,3,1,1,1,1,2,0.034482759,0.039787798,0.00795756,0.00265252,0.00265252,0.00265252,0.00265252,0.00530504
34125.txt,P6,SPA,high,384,16,85,95,18,7,5.3125,5.9375,1.125,0.4375,23,8,0,4,1,0,0,3,0.059895833,0.020833333,0,0.010416667,0.002604167,0,0,0.0078125
35950.txt,P8,SPA,medium,327,1,53,80,19,14,53,80,19,14,9,9,0,0,1,0,0,0,0.027522936,0.027522936,0,0,0.003058104,0,0,0
36328.txt,P7,SPA,high,275,14,76,42,18,5,5.428571429,3,1.285714286,0.357142857,14,5,0,1,0,2,0,7,0.050909091,0.018181818,0,0.003636364,0,0.007272727,0,0.025454545
36602.txt,P7,SPA,high,395,20,98,80,30,9,4.9,4,1.5,0.45,16,14,2,7,1,1,0,4,0.040506329,0.035443038,0.005063291,0.017721519,0.002531646,0.002531646,0,0.010126582
36673.txt,P4,SPA,high,368,14,87,74,31,7,6.214285714,5.285714286,2.214285714,0.5,32,7,1,1,2,0,0,2,0.086956522,0.019021739,0.002717391,0.002717391,0.005434783,0,0,0.005434783
37703.txt,P6,SPA,high,333,15,73,65,15,13,4.866666667,4.333333333,1,0.866666667,18,17,4,2,1,0,0,3,0.054054054,0.051051051,0.012012012,0.006006006,0.003003003,0,0,0.009009009
38571.txt,P7,SPA,high,310,11,64,47,36,6,5.818181818,4.272727273,3.272727273,0.545454545,11,12,2,0,0,1,0,3,0.035483871,0.038709677,0.006451613,0,0,0.003225806,0,0.009677419
38653.txt,P8,SPA,low,181,11,34,36,15,5,3.090909091,3.272727273,1.363636364,0.454545455,3,3,0,2,1,0,0,4,0.016574586,0.016574586,0,0.011049724,0.005524862,0,0,0.022099448
40863.txt,P5,SPA,high,368,16,81,67,29,10,5.0625,4.1875,1.8125,0.625,26,8,3,0,1,1,1,5,0.070652174,0.02173913,0.008152174,0,0.002717391,0.002717391,0.002717391,0.013586957
41232.txt,P7,SPA,medium,425,20,107,57,30,10,5.35,2.85,1.5,0.5,38,18,0,2,9,0,1,3,0.089411765,0.042352941,0,0.004705882,0.021176471,0,0.002352941,0.007058824
44669.txt,P6,SPA,high,315,9,62,57,30,9,6.888888889,6.333333333,3.333333333,1,16,9,0,0,2,0,0,3,0.050793651,0.028571429,0,0,0.006349206,0,0,0.00952381
44961.txt,P5,SPA,medium,320,9,85,63,26,2,9.444444444,7,2.888888889,0.222222222,18,10,0,8,1,0,0,3,0.05625,0.03125,0,0.025,0.003125,0,0,0.009375
46266.txt,P7,SPA,high,353,16,57,73,25,10,3.5625,4.5625,1.5625,0.625,14,9,3,1,5,0,0,4,0.039660057,0.025495751,0.008498584,0.002832861,0.014164306,0,0,0.011331445
46849.txt,P5,SPA,medium,316,12,71,49,29,17,5.916666667,4.083333333,2.416666667,1.416666667,27,7,1,2,1,0,0,2,0.085443038,0.022151899,0.003164557,0.006329114,0.003164557,0,0,0.006329114
48734.txt,P8,SPA,high,311,20,80,77,36,2,4,3.85,1.8,0.1,8,4,0,0,0,1,0,5,0.025723473,0.012861736,0,0,0,0.003215434,0,0.01607717
48984.txt,P5,SPA,medium,316,13,96,54,37,6,7.384615385,4.153846154,2.846153846,0.461538462,18,7,0,0,0,5,0,0,0.056962025,0.022151899,0,0,0,0.015822785,0,0
52054.txt,P5,SPA,high,334,11,77,56,30,11,7,5.090909091,2.727272727,1,15,14,0,1,3,1,0,3,0.04491018,0.041916168,0,0.002994012,0.008982036,0.002994012,0,0.008982036
55925.txt,P1,SPA,medium,325,11,70,81,21,3,6.363636364,7.363636364,1.909090909,0.272727273,7,8,1,1,1,1,0,5,0.021538462,0.024615385,0.003076923,0.003076923,0.003076923,0.003076923,0,0.015384615
57752.txt,P8,SPA,high,381,17,85,90,24,18,5,5.294117647,1.411764706,1.058823529,14,6,0,0,4,0,0,5,0.036745407,0.015748031,0,0,0.010498688,0,0,0.01312336
61190.txt,P6,SPA,medium,337,3,70,68,27,7,23.33333333,22.66666667,9,2.333333333,12,15,0,2,2,1,0,1,0.035608309,0.044510386,0,0.005934718,0.005934718,0.002967359,0,0.002967359
62820.txt,P2,SPA,high,391,17,92,71,34,7,5.411764706,4.176470588,2,0.411764706,17,11,0,4,1,1,0,3,0.043478261,0.028132992,0,0.010230179,0.002557545,0.002557545,0,0.007672634
65865.txt,P8,SPA,medium,239,7,53,42,20,2,7.571428571,6,2.857142857,0.285714286,18,6,1,0,3,0,0,1,0.075313808,0.025104603,0.0041841,0,0.012552301,0,0,0.0041841
72320.txt,P8,SPA,medium,290,11,56,51,25,10,5.090909091,4.636363636,2.272727273,0.909090909,15,8,1,4,1,1,0,3,0.051724138,0.027586207,0.003448276,0.013793103,0.003448276,0.003448276,0,0.010344828
73082.txt,P5,SPA,medium,348,21,83,66,27,9,3.952380952,3.142857143,1.285714286,0.428571429,27,6,1,5,4,0,0,2,0.077586207,0.017241379,0.002873563,0.014367816,0.011494253,0,0,0.005747126
73163.txt,P7,SPA,medium,395,29,97,78,36,10,3.344827586,2.689655172,1.24137931,0.344827586,22,7,1,3,0,0,0,2,0.055696203,0.017721519,0.002531646,0.007594937,0,0,0,0.005063291
76614.txt,P1,SPA,high,314,14,79,53,28,8,5.642857143,3.785714286,2,0.571428571,11,20,4,2,0,0,0,1,0.035031847,0.063694268,0.012738854,0.006369427,0,0,0,0.003184713
78400.txt,P3,SPA,medium,351,18,94,70,39,9,5.222222222,3.888888889,2.166666667,0.5,8,8,0,3,0,0,0,14,0.022792023,0.022792023,0,0.008547009,0,0,0,0.03988604
79816.txt,P3,SPA,medium,226,10,55,31,30,8,5.5,3.1,3,0.8,10,4,0,1,0,0,0,3,0.044247788,0.017699115,0,0.004424779,0,0,0,0.013274336
79837.txt,P3,SPA,high,514,25,124,116,42,6,4.96,4.64,1.68,0.24,28,6,3,4,0,2,0,4,0.054474708,0.011673152,0.005836576,0.007782101,0,0.003891051,0,0.007782101
83874.txt,P7,SPA,low,300,8,71,57,14,11,8.875,7.125,1.75,1.375,13,11,1,3,1,0,0,5,0.043333333,0.036666667,0.003333333,0.01,0.003333333,0,0,0.016666667
84459.txt,P2,SPA,high,322,9,76,58,25,1,8.444444444,6.444444444,2.777777778,0.111111111,13,9,1,0,2,0,0,2,0.040372671,0.027950311,0.00310559,0,0.00621118,0,0,0.00621118
89885.txt,P3,SPA,high,418,17,101,88,52,3,5.941176471,5.176470588,3.058823529,0.176470588,15,7,1,11,0,0,0,1,0.035885167,0.016746411,0.002392344,0.026315789,0,0,0,0.002392344
89896.txt,P5,SPA,high,324,19,97,54,18,5,5.105263158,2.842105263,0.947368421,0.263157895,37,3,1,1,1,0,0,6,0.114197531,0.009259259,0.00308642,0.00308642,0.00308642,0,0,0.018518519
91965.txt,P6,SPA,high,386,9,78,80,29,3,8.666666667,8.888888889,3.222222222,0.333333333,22,9,9,1,0,1,0,7,0.056994819,0.023316062,0.023316062,0.002590674,0,0.002590674,0,0.018134715
94398.txt,P6,SPA,medium,190,7,40,36,14,5,5.714285714,5.142857143,2,0.714285714,7,9,0,0,1,0,0,0,0.036842105,0.047368421,0,0,0.005263158,0,0,0
95466.txt,P2,SPA,high,317,12,79,55,40,9,6.583333333,4.583333333,3.333333333,0.75,15,6,2,4,0,0,0,6,0.047318612,0.018927445,0.006309148,0.012618297,0,0,0,0.018927445
95939.txt,P4,SPA,low,299,5,67,65,14,12,13.4,13,2.8,2.4,15,10,2,0,3,0,0,5,0.050167224,0.033444816,0.006688963,0,0.010033445,0,0,0.016722408
98551.txt,P1,SPA,medium,238,10,47,45,19,9,4.7,4.5,1.9,0.9,5,11,3,0,1,0,0,0,0.021008403,0.046218487,0.012605042,0,0.004201681,0,0,0
100202.txt,P3,SPA,medium,335,16,101,54,37,5,6.3125,3.375,2.3125,0.3125,16,6,1,2,0,0,1,5,0.047761194,0.017910448,0.002985075,0.005970149,0,0,0.002985075,0.014925373
100336.txt,P8,SPA,medium,220,10,49,39,26,2,4.9,3.9,2.6,0.2,5,9,0,2,1,0,0,1,0.022727273,0.040909091,0,0.009090909,0.004545455,0,0,0.004545455
101568.txt,P2,SPA,high,469,25,105,98,52,5,4.2,3.92,2.08,0.2,14,5,1,5,4,0,0,4,0.029850746,0.010660981,0.002132196,0.010660981,0.008528785,0,0,0.008528785
104726.txt,P6,SPA,high,309,7,69,62,17,7,9.857142857,8.857142857,2.428571429,1,26,10,1,4,2,0,0,1,0.084142395,0.03236246,0.003236246,0.012944984,0.006472492,0,0,0.003236246
105179.txt,P8,SPA,high,464,19,112,96,36,11,5.894736842,5.052631579,1.894736842,0.578947368,32,9,2,3,0,0,0,3,0.068965517,0.019396552,0.004310345,0.006465517,0,0,0,0.006465517
105955.txt,P2,SPA,medium,385,19,81,70,43,7,4.263157895,3.684210526,2.263157895,0.368421053,15,13,0,1,0,1,2,10,0.038961039,0.033766234,0,0.002597403,0,0.002597403,0.005194805,0.025974026
108870.txt,P4,SPA,low,275,8,67,44,32,2,8.375,5.5,4,0.25,19,9,0,8,0,0,0,1,0.069090909,0.032727273,0,0.029090909,0,0,0,0.003636364
109687.txt,P8,SPA,medium,165,13,41,34,16,2,3.153846154,2.615384615,1.230769231,0.153846154,7,4,0,2,0,0,0,3,0.042424242,0.024242424,0,0.012121212,0,0,0,0.018181818
111042.txt,P1,SPA,high,326,19,77,47,43,9,4.052631579,2.473684211,2.263157895,0.473684211,10,25,2,0,0,0,0,4,0.030674847,0.076687117,0.006134969,0,0,0,0,0.012269939
111830.txt,P2,SPA,medium,265,16,50,54,31,5,3.125,3.375,1.9375,0.3125,7,4,0,0,4,0,0,3,0.026415094,0.01509434,0,0,0.01509434,0,0,0.011320755
112592.txt,P8,SPA,medium,323,15,64,74,22,6,4.266666667,4.933333333,1.466666667,0.4,13,7,0,2,2,0,0,1,0.040247678,0.021671827,0,0.00619195,0.00619195,0,0,0.003095975
115179.txt,P4,SPA,high,380,13,79,75,47,4,6.076923077,5.769230769,3.615384615,0.307692308,23,9,1,2,0,4,0,5,0.060526316,0.023684211,0.002631579,0.005263158,0,0.010526316,0,0.013157895
123954.txt,P3,SPA,medium,358,9,73,60,38,4,8.111111111,6.666666667,4.222222222,0.444444444,20,11,4,3,0,2,0,8,0.055865922,0.030726257,0.011173184,0.008379888,0,0.005586592,0,0.022346369
125439.txt,P4,SPA,medium,371,14,89,75,32,2,6.357142857,5.357142857,2.285714286,0.142857143,26,15,1,4,0,0,1,4,0.070080863,0.040431267,0.002695418,0.010781671,0,0,0.002695418,0.010781671
127657.txt,P4,SPA,high,362,14,88,66,28,8,6.285714286,4.714285714,2,0.571428571,24,5,0,2,2,1,0,7,0.066298343,0.013812155,0,0.005524862,0.005524862,0.002762431,0,0.019337017
128798.txt,P6,SPA,high,416,17,82,94,39,12,4.823529412,5.529411765,2.294117647,0.705882353,19,17,1,0,1,0,0,3,0.045673077,0.040865385,0.002403846,0,0.002403846,0,0,0.007211538
129269.txt,P1,SPA,medium,303,10,72,55,21,3,7.2,5.5,2.1,0.3,8,8,1,0,0,0,0,4,0.02640264,0.02640264,0.00330033,0,0,0,0,0.01320132
130215.txt,P7,SPA,high,357,20,92,60,22,16,4.6,3,1.1,0.8,20,16,0,7,1,3,0,7,0.056022409,0.044817927,0,0.019607843,0.00280112,0.008403361,0,0.019607843
134469.txt,P1,SPA,high,304,16,74,54,27,8,4.625,3.375,1.6875,0.5,16,13,0,4,0,1,0,2,0.052631579,0.042763158,0,0.013157895,0,0.003289474,0,0.006578947
138619.txt,P4,SPA,medium,297,17,62,61,27,1,3.647058824,3.588235294,1.588235294,0.058823529,18,4,0,5,1,0,0,0,0.060606061,0.013468013,0,0.016835017,0.003367003,0,0,0
140055.txt,P6,SPA,medium,309,8,78,59,18,8,9.75,7.375,2.25,1,19,9,0,0,0,3,0,5,0.061488673,0.029126214,0,0,0,0.009708738,0,0.01618123
144418.txt,P2,SPA,high,324,17,78,55,56,6,4.588235294,3.235294118,3.294117647,0.352941176,17,6,0,0,1,0,1,2,0.052469136,0.018518519,0,0,0.00308642,0,0.00308642,0.00617284
144629.txt,P4,SPA,medium,373,16,87,83,27,10,5.4375,5.1875,1.6875,0.625,27,7,1,3,0,0,0,6,0.072386059,0.018766756,0.002680965,0.008042895,0,0,0,0.016085791
146632.txt,P3,SPA,low,241,13,58,39,27,3,4.461538462,3,2.076923077,0.230769231,20,4,3,0,0,6,1,1,0.082987552,0.01659751,0.012448133,0,0,0.024896266,0.004149378,0.004149378
148958.txt,P8,SPA,high,348,20,66,76,30,6,3.3,3.8,1.5,0.3,6,14,1,3,1,0,1,3,0.017241379,0.040229885,0.002873563,0.00862069,0.002873563,0,0.002873563,0.00862069
149081.txt,P1,SPA,medium,285,15,71,43,29,5,4.733333333,2.866666667,1.933333333,0.333333333,9,10,3,2,1,0,0,8,0.031578947,0.035087719,0.010526316,0.007017544,0.003508772,0,0,0.028070175
149358.txt,P5,SPA,medium,215,15,59,35,17,5,3.933333333,2.333333333,1.133333333,0.333333333,8,2,2,3,2,0,0,1,0.037209302,0.009302326,0.009302326,0.013953488,0.009302326,0,0,0.004651163
150717.txt,P1,SPA,medium,319,15,62,59,46,4,4.133333333,3.933333333,3.066666667,0.266666667,9,6,7,1,1,1,1,5,0.028213166,0.018808777,0.021943574,0.003134796,0.003134796,0.003134796,0.003134796,0.015673981
152157.txt,P5,SPA,medium,380,16,93,66,34,12,5.8125,4.125,2.125,0.75,16,6,1,3,1,0,0,1,0.042105263,0.015789474,0.002631579,0.007894737,0.002631579,0,0,0.002631579
159561.txt,P8,SPA,medium,306,10,76,65,28,13,7.6,6.5,2.8,1.3,10,11,2,1,4,0,0,2,0.032679739,0.035947712,0.006535948,0.003267974,0.013071895,0,0,0.006535948
159607.txt,P5,SPA,high,276,13,83,47,33,10,6.384615385,3.615384615,2.538461538,0.769230769,11,6,0,1,1,2,0,2,0.039855072,0.02173913,0,0.003623188,0.003623188,0.007246377,0,0.007246377
161060.txt,P5,SPA,high,339,17,83,58,42,10,4.882352941,3.411764706,2.470588235,0.588235294,12,6,2,5,1,1,0,0,0.03539823,0.017699115,0.005899705,0.014749263,0.002949853,0.002949853,0,0
161841.txt,P7,SPA,medium,284,18,77,55,22,8,4.277777778,3.055555556,1.222222222,0.444444444,21,1,1,0,3,0,0,3,0.073943662,0.003521127,0.003521127,0,0.01056338,0,0,0.01056338
163355.txt,P6,SPA,medium,319,12,71,52,21,11,5.916666667,4.333333333,1.75,0.916666667,22,13,0,0,3,0,0,2,0.068965517,0.040752351,0,0,0.009404389,0,0,0.006269592
166227.txt,P7,SPA,medium,250,10,67,40,18,12,6.7,4,1.8,1.2,16,4,1,3,0,0,0,0,0.064,0.016,0.004,0.012,0,0,0,0
166730.txt,P4,SPA,high,332,13,78,60,27,4,6,4.615384615,2.076923077,0.307692308,31,7,1,5,0,1,0,4,0.093373494,0.021084337,0.003012048,0.015060241,0,0.003012048,0,0.012048193
167549.txt,P6,SPA,high,316,11,70,54,27,10,6.363636364,4.909090909,2.454545455,0.909090909,18,9,0,3,0,0,0,4,0.056962025,0.028481013,0,0.009493671,0,0,0,0.012658228
167762.txt,P7,SPA,medium,231,7,52,51,17,6,7.428571429,7.285714286,2.428571429,0.857142857,13,3,1,2,0,0,0,0,0.056277056,0.012987013,0.004329004,0.008658009,0,0,0,0
170042.txt,P4,SPA,medium,378,13,73,81,21,5,5.615384615,6.230769231,1.615384615,0.384615385,22,9,0,2,1,0,0,4,0.058201058,0.023809524,0,0.005291005,0.002645503,0,0,0.010582011
170055.txt,P1,SPA,high,318,9,58,54,36,4,6.444444444,6,4,0.444444444,8,17,4,1,1,0,0,2,0.025157233,0.053459119,0.012578616,0.003144654,0.003144654,0,0,0.006289308
172943.txt,P4,SPA,medium,305,12,69,56,28,1,5.75,4.666666667,2.333333333,0.083333333,11,8,0,1,4,1,0,10,0.036065574,0.026229508,0,0.003278689,0.013114754,0.003278689,0,0.032786885
176054.txt,P1,SPA,medium,310,6,67,53,30,9,11.16666667,8.833333333,5,1.5,15,10,3,2,0,0,0,10,0.048387097,0.032258065,0.009677419,0.006451613,0,0,0,0.032258065
176669.txt,P5,SPA,medium,325,11,89,49,31,6,8.090909091,4.454545455,2.818181818,0.545454545,29,7,2,0,1,0,1,1,0.089230769,0.021538462,0.006153846,0,0.003076923,0,0.003076923,0.003076923
189168.txt,P5,SPA,high,303,10,87,44,37,5,8.7,4.4,3.7,0.5,31,4,0,6,1,0,0,3,0.102310231,0.01320132,0,0.01980198,0.00330033,0,0,0.00990099
191284.txt,P6,SPA,medium,304,13,57,63,23,7,4.384615385,4.846153846,1.769230769,0.538461538,12,13,5,0,1,0,0,3,0.039473684,0.042763158,0.016447368,0,0.003289474,0,0,0.009868421
193638.txt,P6,SPA,medium,325,17,81,61,29,7,4.764705882,3.588235294,1.705882353,0.411764706,7,8,0,1,3,0,0,1,0.021538462,0.024615385,0,0.003076923,0.009230769,0,0,0.003076923
194815.txt,P6,SPA,medium,305,4,63,59,16,7,15.75,14.75,4,1.75,17,10,1,0,2,0,0,5,0.055737705,0.032786885,0.003278689,0,0.006557377,0,0,0.016393443
196145.txt,P2,SPA,medium,270,11,54,52,32,4,4.909090909,4.727272727,2.909090909,0.363636364,24,1,0,0,0,0,0,1,0.088888889,0.003703704,0,0,0,0,0,0.003703704
197130.txt,P5,SPA,high,347,22,87,56,32,6,3.954545455,2.545454545,1.454545455,0.272727273,26,14,3,3,1,0,0,3,0.074927954,0.040345821,0.008645533,0.008645533,0.002881844,0,0,0.008645533
197192.txt,P1,SPA,high,310,13,81,40,53,4,6.230769231,3.076923077,4.076923077,0.307692308,18,17,6,2,0,1,0,3,0.058064516,0.05483871,0.019354839,0.006451613,0,0.003225806,0,0.009677419
201516.txt,P4,SPA,low,171,7,44,35,14,0,6.285714286,5,2,0,15,0,0,2,0,0,0,0,0.087719298,0,0,0.011695906,0,0,0,0
203797.txt,P8,SPA,medium,316,14,81,67,30,5,5.785714286,4.785714286,2.142857143,0.357142857,19,4,1,5,1,1,0,1,0.060126582,0.012658228,0.003164557,0.015822785,0.003164557,0.003164557,0,0.003164557
204655.txt,P2,SPA,high,293,15,80,49,25,4,5.333333333,3.266666667,1.666666667,0.266666667,12,13,7,1,0,0,4,4,0.040955631,0.044368601,0.023890785,0.003412969,0,0,0.013651877,0.013651877
210440.txt,P6,SPA,medium,316,11,74,57,17,10,6.727272727,5.181818182,1.545454545,0.909090909,13,16,3,4,0,0,0,3,0.041139241,0.050632911,0.009493671,0.012658228,0,0,0,0.009493671
211892.txt,P1,SPA,medium,240,11,75,45,29,3,6.818181818,4.090909091,2.636363636,0.272727273,5,6,1,2,0,1,0,2,0.020833333,0.025,0.004166667,0.008333333,0,0.004166667,0,0.008333333
213629.txt,P4,SPA,medium,447,15,109,96,25,6,7.266666667,6.4,1.666666667,0.4,31,11,1,12,1,0,0,12,0.06935123,0.024608501,0.002237136,0.026845638,0.002237136,0,0,0.026845638
216219.txt,P5,SPA,low,240,8,50,44,21,7,6.25,5.5,2.625,0.875,13,8,0,4,0,1,0,3,0.054166667,0.033333333,0,0.016666667,0,0.004166667,0,0.0125
218533.txt,P7,SPA,high,434,22,89,95,25,22,4.045454545,4.318181818,1.136363636,1,11,12,0,2,2,1,0,10,0.025345622,0.02764977,0,0.004608295,0.004608295,0.002304147,0,0.023041475
220304.txt,P8,SPA,medium,329,11,66,70,26,7,6,6.363636364,2.363636364,0.636363636,10,13,1,1,5,0,0,2,0.030395137,0.039513678,0.003039514,0.003039514,0.015197568,0,0,0.006079027
221057.txt,P1,SPA,medium,308,7,74,58,37,8,10.57142857,8.285714286,5.285714286,1.142857143,7,16,2,2,0,3,0,2,0.022727273,0.051948052,0.006493506,0.006493506,0,0.00974026,0,0.006493506
225183.txt,P4,SPA,high,365,19,76,85,32,7,4,4.473684211,1.684210526,0.368421053,19,4,1,0,1,0,0,6,0.052054795,0.010958904,0.002739726,0,0.002739726,0,0,0.016438356
228843.txt,P5,SPA,medium,262,13,58,56,19,10,4.461538462,4.307692308,1.461538462,0.769230769,9,7,3,1,1,0,0,0,0.034351145,0.026717557,0.011450382,0.003816794,0.003816794,0,0,0
230059.txt,P5,SPA,high,246,13,54,41,32,5,4.153846154,3.153846154,2.461538462,0.384615385,10,5,1,4,1,0,0,3,0.040650407,0.020325203,0.004065041,0.016260163,0.004065041,0,0,0.012195122
230181.txt,P2,SPA,medium,407,18,96,94,37,2,5.333333333,5.222222222,2.055555556,0.111111111,8,7,3,2,0,0,0,6,0.01965602,0.017199017,0.007371007,0.004914005,0,0,0,0.014742015
238028.txt,P2,SPA,high,301,18,66,58,33,3,3.666666667,3.222222222,1.833333333,0.166666667,13,13,1,1,0,0,0,2,0.043189369,0.043189369,0.003322259,0.003322259,0,0,0,0.006644518
238442.txt,P6,SPA,high,404,17,96,82,31,3,5.647058824,4.823529412,1.823529412,0.176470588,23,12,5,4,0,5,0,2,0.056930693,0.02970297,0.012376238,0.00990099,0,0.012376238,0,0.004950495
238640.txt,P1,SPA,medium,344,20,78,62,25,17,3.9,3.1,1.25,0.85,20,9,5,3,4,0,0,9,0.058139535,0.026162791,0.014534884,0.00872093,0.011627907,0,0,0.026162791
239458.txt,P7,SPA,medium,314,16,76,65,28,5,4.75,4.0625,1.75,0.3125,10,8,1,4,1,0,1,8,0.031847134,0.025477707,0.003184713,0.012738854,0.003184713,0,0.003184713,0.025477707
241041.txt,P3,SPA,medium,337,15,78,71,26,6,5.2,4.733333333,1.733333333,0.4,17,6,0,3,3,0,1,2,0.050445104,0.017804154,0,0.008902077,0.008902077,0,0.002967359,0.005934718
243572.txt,P4,SPA,medium,316,12,63,72,15,2,5.25,6,1.25,0.166666667,17,8,1,0,1,0,0,2,0.053797468,0.025316456,0.003164557,0,0.003164557,0,0,0.006329114
245196.txt,P8,SPA,medium,261,7,52,54,27,8,7.428571429,7.714285714,3.857142857,1.142857143,11,5,0,6,1,0,2,5,0.042145594,0.019157088,0,0.022988506,0.003831418,0,0.007662835,0.019157088
245244.txt,P3,SPA,medium,300,13,59,63,30,6,4.538461538,4.846153846,2.307692308,0.461538462,7,6,0,3,1,1,1,3,0.023333333,0.02,0,0.01,0.003333333,0.003333333,0.003333333,0.01
247673.txt,P6,SPA,low,322,8,74,60,22,5,9.25,7.5,2.75,0.625,15,17,7,2,3,0,0,7,0.046583851,0.052795031,0.02173913,0.00621118,0.00931677,0,0,0.02173913
248298.txt,P7,SPA,medium,311,11,59,71,16,7,5.363636364,6.454545455,1.454545455,0.636363636,22,1,1,2,2,0,0,2,0.07073955,0.003215434,0.003215434,0.006430868,0.006430868,0,0,0.006430868
249357.txt,P7,SPA,medium,321,10,65,63,18,9,6.5,6.3,1.8,0.9,18,11,1,3,2,1,0,5,0.056074766,0.034267913,0.003115265,0.009345794,0.00623053,0.003115265,0,0.015576324
252942.txt,P7,SPA,medium,292,14,75,49,26,5,5.357142857,3.5,1.857142857,0.357142857,15,6,1,0,0,3,0,7,0.051369863,0.020547945,0.003424658,0,0,0.010273973,0,0.023972603
253215.txt,P2,SPA,medium,310,27,74,64,33,4,2.740740741,2.37037037,1.222222222,0.148148148,28,6,1,1,0,0,0,5,0.090322581,0.019354839,0.003225806,0.003225806,0,0,0,0.016129032
258020.txt,P8,SPA,medium,291,11,67,58,19,9,6.090909091,5.272727273,1.727272727,0.818181818,17,5,0,2,3,0,1,1,0.058419244,0.017182131,0,0.006872852,0.010309278,0,0.003436426,0.003436426
