Filename,Prompt,Language,Score_Level,essay_len,num_sentence,noun_count,verb_count,adj_count,modal_count,noun_per_sentence,verb_per_sentence,adj_per_sentence,modal_per_sentence,the_count,aan_count,one_count,this_count,that_count,these_count,those_count,other_det_count,PRP_count,the_freq,aan_freq,one_freq,this_freq,that_freq,these_freq,those_freq,other_det_freq,PRP_freq
24312.txt,P4,ZHO,medium,300,24,58,69,25,7,2.416666667,2.875,1.041666667,0.291666667,11,3,1,0,1,0,0,10,7,0.036666667,0.01,0.003333333,0,0.003333333,0,0,0.033333333,0.023333333
24427.txt,P7,ZHO,medium,340,16,78,75,25,12,4.875,4.6875,1.5625,0.75,30,2,1,4,1,0,1,4,2,0.088235294,0.005882353,0.002941176,0.011764706,0.002941176,0,0.002941176,0.011764706,0.005882353
26125.txt,P5,ZHO,medium,340,18,85,42,28,16,4.722222222,2.333333333,1.555555556,0.888888889,28,1,0,2,1,0,0,6,0,0.082352941,0.002941176,0,0.005882353,0.002941176,0,0,0.017647059,0
29397.txt,P4,ZHO,medium,328,21,87,62,27,6,4.142857143,2.952380952,1.285714286,0.285714286,23,7,1,6,0,0,0,3,3,0.070121951,0.021341463,0.00304878,0.018292683,0,0,0,0.009146341,0.009146341
29905.txt,P2,ZHO,low,304,25,70,60,35,4,2.8,2.4,1.4,0.16,15,4,0,1,1,0,0,0,5,0.049342105,0.013157895,0,0.003289474,0.003289474,0,0,0,0.016447368
29959.txt,P1,ZHO,high,355,20,87,62,30,12,4.35,3.1,1.5,0.6,9,16,4,3,8,0,2,6,2,0.025352113,0.045070423,0.011267606,0.008450704,0.022535211,0,0.005633803,0.016901408,0.005633803
33102.txt,P8,ZHO,medium,206,4,44,39,18,3,11,9.75,4.5,0.75,13,4,1,0,0,0,0,1,1,0.063106796,0.019417476,0.004854369,0,0,0,0,0.004854369,0.004854369
34393.txt,P8,ZHO,medium,295,19,54,61,21,14,2.842105263,3.210526316,1.105263158,0.736842105,17,3,0,0,1,0,0,7,3,0.057627119,0.010169492,0,0,0.003389831,0,0,0.023728814,0.010169492
35420.txt,P5,ZHO,medium,280,20,70,58,22,6,3.5,2.9,1.1,0.3,14,5,1,0,3,0,1,2,7,0.05,0.017857143,0.003571429,0,0.010714286,0,0.003571429,0.007142857,0.025
36300.txt,P7,ZHO,medium,251,15,59,49,18,2,3.933333333,3.266666667,1.2,0.133333333,24,1,0,1,0,0,0,2,1,0.09561753,0.003984064,0,0.003984064,0,0,0,0.007968127,0.003984064
37807.txt,P4,ZHO,medium,269,21,81,38,38,4,3.857142857,1.80952381,1.80952381,0.19047619,8,7,4,1,1,0,1,3,3,0.029739777,0.026022305,0.014869888,0.003717472,0.003717472,0,0.003717472,0.011152416,0.011152416
41900.txt,P4,ZHO,low,186,11,39,33,13,4,3.545454545,3,1.181818182,0.363636364,11,1,2,0,1,0,3,5,0,0.059139785,0.005376344,0.010752688,0,0.005376344,0,0.016129032,0.02688172,0
42600.txt,P2,ZHO,medium,314,20,79,55,46,8,3.95,2.75,2.3,0.4,27,5,0,3,0,0,2,1,0,0.085987261,0.015923567,0,0.00955414,0,0,0.006369427,0.003184713,0
43558.txt,P1,ZHO,medium,250,15,56,41,42,9,3.733333333,2.733333333,2.8,0.6,7,10,3,1,1,0,0,5,2,0.028,0.04,0.012,0.004,0.004,0,0,0.02,0.008
46827.txt,P1,ZHO,medium,298,23,85,55,42,7,3.695652174,2.391304348,1.826086957,0.304347826,8,5,1,0,0,0,0,3,7,0.026845638,0.016778523,0.003355705,0,0,0,0,0.010067114,0.023489933
47554.txt,P5,ZHO,medium,342,20,98,59,24,12,4.9,2.95,1.2,0.6,26,7,2,0,0,1,0,10,2,0.076023392,0.020467836,0.005847953,0,0,0.002923977,0,0.029239766,0.005847953
47814.txt,P7,ZHO,high,279,16,79,60,23,3,4.9375,3.75,1.4375,0.1875,21,4,0,0,0,0,0,2,1,0.075268817,0.014336918,0,0,0,0,0,0.007168459,0.003584229
50082.txt,P4,ZHO,medium,335,25,74,69,24,9,2.96,2.76,0.96,0.36,22,2,1,4,1,1,0,11,6,0.065671642,0.005970149,0.002985075,0.011940299,0.002985075,0.002985075,0,0.032835821,0.017910448
52674.txt,P5,ZHO,medium,272,10,74,56,28,6,7.4,5.6,2.8,0.6,8,2,0,0,0,1,0,1,2,0.029411765,0.007352941,0,0,0,0.003676471,0,0.003676471,0.007352941
52951.txt,P2,ZHO,high,326,19,88,53,52,2,4.631578947,2.789473684,2.736842105,0.105263158,16,3,0,3,0,0,0,1,3,0.049079755,0.009202454,0,0.009202454,0,0,0,0.003067485,0.009202454
57757.txt,P1,ZHO,medium,285,13,57,49,33,10,4.384615385,3.769230769,2.538461538,0.769230769,5,8,2,0,3,0,1,4,10,0.01754386,0.028070175,0.007017544,0,0.010526316,0,0.003508772,0.014035088,0.035087719
59730.txt,P5,ZHO,low,183,12,41,34,18,11,3.416666667,2.833333333,1.5,0.916666667,19,1,2,0,0,0,0,3,0,0.103825137,0.005464481,0.010928962,0,0,0,0,0.016393443,0
60162.txt,P7,ZHO,high,487,20,137,71,45,17,6.85,3.55,2.25,0.85,30,9,3,3,1,2,0,9,3,0.061601643,0.018480493,0.006160164,0.006160164,0.002053388,0.004106776,0,0.018480493,0.006160164
69177.txt,P1,ZHO,medium,186,7,41,32,23,5,5.857142857,4.571428571,3.285714286,0.714285714,4,5,2,0,1,0,0,2,2,0.021505376,0.02688172,0.010752688,0,0.005376344,0,0,0.010752688,0.010752688
70644.txt,P5,ZHO,medium,336,16,83,55,27,11,5.1875,3.4375,1.6875,0.6875,22,5,3,1,2,2,0,2,2,0.06547619,0.014880952,0.008928571,0.00297619,0.005952381,0.005952381,0,0.005952381,0.005952381
70661.txt,P8,ZHO,high,347,23,94,70,32,7,4.086956522,3.043478261,1.391304348,0.304347826,21,2,1,0,0,0,0,3,7,0.060518732,0.005763689,0.002881844,0,0,0,0,0.008645533,0.020172911
73212.txt,P7,ZHO,medium,324,18,82,68,22,10,4.555555556,3.777777778,1.222222222,0.555555556,23,6,0,3,2,1,0,5,3,0.070987654,0.018518519,0,0.009259259,0.00617284,0.00308642,0,0.015432099,0.009259259
73721.txt,P2,ZHO,medium,322,19,78,56,39,8,4.105263158,2.947368421,2.052631579,0.421052632,7,4,0,3,1,1,0,6,14,0.02173913,0.01242236,0,0.00931677,0.00310559,0.00310559,0,0.01863354,0.043478261
78009.txt,P3,ZHO,medium,314,15,81,54,37,7,5.4,3.6,2.466666667,0.466666667,19,2,1,2,0,1,0,8,9,0.060509554,0.006369427,0.003184713,0.006369427,0,0.003184713,0,0.025477707,0.02866242
79025.txt,P7,ZHO,medium,316,23,81,57,27,2,3.52173913,2.47826087,1.173913043,0.086956522,16,3,3,3,1,0,0,2,7,0.050632911,0.009493671,0.009493671,0.009493671,0.003164557,0,0,0.006329114,0.022151899
79224.txt,P2,ZHO,high,494,27,112,99,36,12,4.148148148,3.666666667,1.333333333,0.444444444,19,8,0,3,0,0,1,6,13,0.038461538,0.016194332,0,0.006072874,0,0,0.002024291,0.012145749,0.026315789
79442.txt,P8,ZHO,medium,317,19,67,63,32,12,3.526315789,3.315789474,1.684210526,0.631578947,15,6,1,3,0,4,2,0,6,0.047318612,0.018927445,0.003154574,0.009463722,0,0.012618297,0.006309148,0,0.018927445
81437.txt,P7,ZHO,high,452,20,109,68,40,7,5.45,3.4,2,0.35,35,17,1,1,0,0,0,2,9,0.077433628,0.037610619,0.002212389,0.002212389,0,0,0,0.004424779,0.019911504
81507.txt,P8,ZHO,medium,472,18,92,100,41,13,5.111111111,5.555555556,2.277777778,0.722222222,28,15,1,5,1,1,0,1,3,0.059322034,0.031779661,0.002118644,0.01059322,0.002118644,0.002118644,0,0.002118644,0.006355932
82613.txt,P1,ZHO,medium,328,16,77,48,40,14,4.8125,3,2.5,0.875,33,4,2,3,0,0,1,5,0,0.100609756,0.012195122,0.006097561,0.009146341,0,0,0.00304878,0.015243902,0
82993.txt,P8,ZHO,medium,328,13,75,66,27,1,5.769230769,5.076923077,2.076923077,0.076923077,0,7,0,4,0,0,0,5,19,0,0.021341463,0,0.012195122,0,0,0,0.015243902,0.057926829
94655.txt,P5,ZHO,medium,285,25,70,49,31,6,2.8,1.96,1.24,0.24,23,0,3,0,0,0,0,2,1,0.080701754,0,0.010526316,0,0,0,0,0.007017544,0.003508772
95789.txt,P1,ZHO,high,323,14,67,55,42,8,4.785714286,3.928571429,3,0.571428571,8,15,3,0,0,1,0,0,6,0.024767802,0.046439628,0.009287926,0,0,0.003095975,0,0,0.018575851
96442.txt,P6,ZHO,medium,330,15,77,60,23,11,5.133333333,4,1.533333333,0.733333333,16,19,2,0,1,0,1,5,4,0.048484848,0.057575758,0.006060606,0,0.003030303,0,0.003030303,0.015151515,0.012121212
98093.txt,P5,ZHO,medium,339,18,92,58,29,17,5.111111111,3.222222222,1.611111111,0.944444444,23,12,1,1,1,2,1,1,0,0.067846608,0.03539823,0.002949853,0.002949853,0.002949853,0.005899705,0.002949853,0.002949853,0
102695.txt,P7,ZHO,low,184,12,46,34,21,5,3.833333333,2.833333333,1.75,0.416666667,10,6,1,0,0,1,0,1,1,0.054347826,0.032608696,0.005434783,0,0,0.005434783,0,0.005434783,0.005434783
103424.txt,P2,ZHO,high,388,28,91,73,40,13,3.25,2.607142857,1.428571429,0.464285714,6,11,0,2,1,0,0,4,5,0.015463918,0.028350515,0,0.005154639,0.00257732,0,0,0.010309278,0.012886598
103545.txt,P4,ZHO,high,397,29,99,70,35,9,3.413793103,2.413793103,1.206896552,0.310344828,31,13,1,1,0,2,0,7,4,0.078085642,0.032745592,0.002518892,0.002518892,0,0.005037783,0,0.017632242,0.010075567
104966.txt,P1,ZHO,high,446,19,107,87,55,13,5.631578947,4.578947368,2.894736842,0.684210526,10,10,4,1,0,0,0,4,6,0.022421525,0.022421525,0.00896861,0.002242152,0,0,0,0.00896861,0.013452915
105061.txt,P8,ZHO,high,346,17,65,73,35,5,3.823529412,4.294117647,2.058823529,0.294117647,8,19,2,0,3,0,1,2,2,0.023121387,0.054913295,0.005780347,0,0.00867052,0,0.002890173,0.005780347,0.005780347
105404.txt,P2,ZHO,medium,232,17,57,43,28,3,3.352941176,2.529411765,1.647058824,0.176470588,8,5,1,1,4,0,0,1,8,0.034482759,0.021551724,0.004310345,0.004310345,0.017241379,0,0,0.004310345,0.034482759
105670.txt,P5,ZHO,low,76,4,17,12,9,3,4.25,3,2.25,0.75,1,0,0,0,0,0,0,0,0,0.013157895,0,0,0,0,0,0,0,0
106584.txt,P8,ZHO,medium,325,27,64,72,23,10,2.37037037,2.666666667,0.851851852,0.37037037,31,6,5,1,2,0,0,1,5,0.095384615,0.018461538,0.015384615,0.003076923,0.006153846,0,0,0.003076923,0.015384615
107816.txt,P6,ZHO,low,159,14,35,28,15,11,2.5,2,1.071428571,0.785714286,7,9,0,1,1,0,0,1,1,0.044025157,0.056603774,0,0.006289308,0.006289308,0,0,0.006289308,0.006289308
108367.txt,P2,ZHO,medium,373,19,90,65,66,15,4.736842105,3.421052632,3.473684211,0.789473684,24,6,0,3,0,0,0,4,1,0.064343164,0.016085791,0,0.008042895,0,0,0,0.010723861,0.002680965
109346.txt,P3,ZHO,medium,299,17,70,50,38,7,4.117647059,2.941176471,2.235294118,0.411764706,9,4,0,2,1,2,0,0,6,0.030100334,0.013377926,0,0.006688963,0.003344482,0.006688963,0,0,0.02006689
110274.txt,P1,ZHO,medium,328,19,73,51,36,11,3.842105263,2.684210526,1.894736842,0.578947368,11,16,4,0,1,2,0,4,2,0.033536585,0.048780488,0.012195122,0,0.00304878,0.006097561,0,0.012195122,0.006097561
110423.txt,P6,ZHO,high,489,21,128,77,47,16,6.095238095,3.666666667,2.238095238,0.761904762,37,21,2,0,0,0,0,1,5,0.075664622,0.042944785,0.00408998,0,0,0,0,0.00204499,0.010224949
111230.txt,P6,ZHO,medium,349,18,78,55,27,13,4.333333333,3.055555556,1.5,0.722222222,14,22,1,1,0,0,0,5,2,0.040114613,0.063037249,0.00286533,0.00286533,0,0,0,0.014326648,0.005730659
112805.txt,P1,ZHO,medium,303,18,59,57,36,9,3.277777778,3.166666667,2,0.5,5,2,10,0,0,0,0,2,1,0.01650165,0.00660066,0.0330033,0,0,0,0,0.00660066,0.00330033
114592.txt,P1,ZHO,medium,335,21,76,62,33,4,3.619047619,2.952380952,1.571428571,0.19047619,13,17,3,1,0,0,0,6,4,0.03880597,0.050746269,0.008955224,0.002985075,0,0,0,0.017910448,0.011940299
117426.txt,P5,ZHO,medium,367,16,89,69,34,13,5.5625,4.3125,2.125,0.8125,31,6,1,2,2,0,0,6,4,0.084468665,0.016348774,0.002724796,0.005449591,0.005449591,0,0,0.016348774,0.010899183
118886.txt,P7,ZHO,medium,260,11,62,49,14,9,5.636363636,4.454545455,1.272727273,0.818181818,18,1,0,0,1,0,0,3,2,0.069230769,0.003846154,0,0,0.003846154,0,0,0.011538462,0.007692308
119361.txt,P5,ZHO,medium,354,16,95,60,30,15,5.9375,3.75,1.875,0.9375,28,8,2,2,0,4,0,2,2,0.079096045,0.02259887,0.005649718,0.005649718,0,0.011299435,0,0.005649718,0.005649718
120793.txt,P3,ZHO,high,271,18,75,44,37,2,4.166666667,2.444444444,2.055555556,0.111111111,8,4,2,1,0,2,1,3,6,0.029520295,0.014760148,0.007380074,0.003690037,0,0.007380074,0.003690037,0.011070111,0.022140221
122043.txt,P6,ZHO,high,331,16,65,63,28,13,4.0625,3.9375,1.75,0.8125,13,15,0,2,0,0,0,4,6,0.039274924,0.045317221,0,0.006042296,0,0,0,0.012084592,0.018126888
129159.txt,P6,ZHO,medium,384,20,87,65,33,6,4.35,3.25,1.65,0.3,29,15,2,0,0,0,0,6,2,0.075520833,0.0390625,0.005208333,0,0,0,0,0.015625,0.005208333
130222.txt,P3,ZHO,medium,335,16,82,59,30,6,5.125,3.6875,1.875,0.375,22,2,0,0,0,2,0,6,21,0.065671642,0.005970149,0,0,0,0.005970149,0,0.017910448,0.062686567
133707.txt,P2,ZHO,medium,325,19,77,50,50,8,4.052631579,2.631578947,2.631578947,0.421052632,20,2,0,0,0,0,0,1,1,0.061538462,0.006153846,0,0,0,0,0,0.003076923,0.003076923
135427.txt,P1,ZHO,medium,334,19,79,48,39,14,4.157894737,2.526315789,2.052631579,0.736842105,13,12,2,0,0,2,0,4,6,0.038922156,0.035928144,0.005988024,0,0,0.005988024,0,0.011976048,0.017964072
136035.txt,P2,ZHO,medium,248,12,56,43,35,6,4.666666667,3.583333333,2.916666667,0.5,17,2,0,0,0,0,0,2,10,0.068548387,0.008064516,0,0,0,0,0,0.008064516,0.040322581
136109.txt,P4,ZHO,medium,327,27,73,57,35,4,2.703703704,2.111111111,1.296296296,0.148148148,15,11,0,2,0,0,0,3,4,0.04587156,0.033639144,0,0.006116208,0,0,0,0.009174312,0.012232416
136346.txt,P5,ZHO,low,355,9,100,42,26,14,11.11111111,4.666666667,2.888888889,1.555555556,36,9,0,3,0,0,0,2,4,0.101408451,0.025352113,0,0.008450704,0,0,0,0.005633803,0.011267606
139592.txt,P6,ZHO,medium,354,20,82,61,34,16,4.1,3.05,1.7,0.8,23,8,0,2,0,1,1,3,5,0.064971751,0.02259887,0,0.005649718,0,0.002824859,0.002824859,0.008474576,0.014124294
139743.txt,P6,ZHO,high,434,26,101,83,25,13,3.884615385,3.192307692,0.961538462,0.5,25,21,2,2,2,0,0,3,5,0.057603687,0.048387097,0.004608295,0.004608295,0.004608295,0,0,0.006912442,0.011520737
141650.txt,P7,ZHO,medium,258,19,68,43,19,16,3.578947368,2.263157895,1,0.842105263,21,0,0,2,0,0,0,4,1,0.081395349,0,0,0.007751938,0,0,0,0.015503876,0.003875969
146304.txt,P4,ZHO,high,308,19,81,51,28,3,4.263157895,2.684210526,1.473684211,0.157894737,19,9,1,0,0,0,2,1,10,0.061688312,0.029220779,0.003246753,0,0,0,0.006493506,0.003246753,0.032467532
147799.txt,P1,ZHO,medium,236,12,53,46,31,6,4.416666667,3.833333333,2.583333333,0.5,10,3,0,1,1,0,1,2,4,0.042372881,0.012711864,0,0.004237288,0.004237288,0,0.004237288,0.008474576,0.016949153
148941.txt,P4,ZHO,medium,382,29,69,87,29,13,2.379310345,3,1,0.448275862,7,16,5,6,4,2,0,2,6,0.018324607,0.041884817,0.013089005,0.015706806,0.010471204,0.005235602,0,0.005235602,0.015706806
152801.txt,P2,ZHO,high,540,34,137,95,72,10,4.029411765,2.794117647,2.117647059,0.294117647,29,7,0,1,1,1,0,9,8,0.053703704,0.012962963,0,0.001851852,0.001851852,0.001851852,0,0.016666667,0.014814815
153137.txt,P8,ZHO,medium,323,16,52,60,32,13,3.25,3.75,2,0.8125,6,4,0,1,3,0,0,4,8,0.018575851,0.012383901,0,0.003095975,0.009287926,0,0,0.012383901,0.024767802
154213.txt,P2,ZHO,high,464,26,124,69,57,4,4.769230769,2.653846154,2.192307692,0.153846154,27,17,1,3,0,2,2,6,6,0.058189655,0.036637931,0.002155172,0.006465517,0,0.004310345,0.004310345,0.012931034,0.012931034
155456.txt,P6,ZHO,medium,314,19,64,62,30,7,3.368421053,3.263157895,1.578947368,0.368421053,25,6,2,0,0,0,0,7,3,0.079617834,0.01910828,0.006369427,0,0,0,0,0.022292994,0.00955414
156421.txt,P8,ZHO,low,173,6,33,39,20,4,5.5,6.5,3.333333333,0.666666667,6,1,3,1,4,0,0,1,2,0.034682081,0.005780347,0.01734104,0.005780347,0.023121387,0,0,0.005780347,0.011560694
156787.txt,P5,ZHO,high,425,24,114,72,43,20,4.75,3,1.791666667,0.833333333,37,6,2,1,0,5,0,4,3,0.087058824,0.014117647,0.004705882,0.002352941,0,0.011764706,0,0.009411765,0.007058824
159000.txt,P8,ZHO,medium,318,18,40,76,32,12,2.222222222,4.222222222,1.777777778,0.666666667,10,6,0,5,0,0,1,3,1,0.031446541,0.018867925,0,0.01572327,0,0,0.003144654,0.009433962,0.003144654
159928.txt,P3,ZHO,medium,308,16,83,60,34,0,5.1875,3.75,2.125,0,17,5,0,0,0,0,1,4,7,0.055194805,0.016233766,0,0,0,0,0.003246753,0.012987013,0.022727273
161127.txt,P1,ZHO,high,347,20,61,83,44,12,3.05,4.15,2.2,0.6,15,3,1,1,4,0,1,1,5,0.043227666,0.008645533,0.002881844,0.002881844,0.011527378,0,0.002881844,0.002881844,0.014409222
162639.txt,P3,ZHO,high,376,20,80,84,38,7,4,4.2,1.9,0.35,16,2,2,1,0,2,1,6,8,0.042553191,0.005319149,0.005319149,0.002659574,0,0.005319149,0.002659574,0.015957447,0.021276596
164537.txt,P8,ZHO,high,462,23,102,96,32,3,4.434782609,4.173913043,1.391304348,0.130434783,17,6,1,3,4,0,0,6,18,0.036796537,0.012987013,0.002164502,0.006493506,0.008658009,0,0,0.012987013,0.038961039
166869.txt,P7,ZHO,medium,461,25,83,95,34,9,3.32,3.8,1.36,0.36,37,6,2,2,4,1,0,3,0,0.080260304,0.013015184,0.004338395,0.004338395,0.00867679,0.002169197,0,0.006507592,0
167685.txt,P2,ZHO,high,325,22,92,47,42,5,4.181818182,2.136363636,1.909090909,0.227272727,18,6,1,0,1,0,0,6,9,0.055384615,0.018461538,0.003076923,0,0.003076923,0,0,0.018461538,0.027692308
169720.txt,P6,ZHO,high,472,21,102,89,38,15,4.857142857,4.238095238,1.80952381,0.714285714,29,13,1,0,1,0,0,6,10,0.061440678,0.027542373,0.002118644,0,0.002118644,0,0,0.012711864,0.021186441
172746.txt,P5,ZHO,medium,351,16,86,65,23,12,5.375,4.0625,1.4375,0.75,24,6,1,3,0,1,0,3,3,0.068376068,0.017094017,0.002849003,0.008547009,0,0.002849003,0,0.008547009,0.008547009
173335.txt,P8,ZHO,medium,408,20,103,69,50,10,5.15,3.45,2.5,0.5,24,18,0,1,0,0,0,1,4,0.058823529,0.044117647,0,0.00245098,0,0,0,0.00245098,0.009803922
174779.txt,P6,ZHO,medium,230,12,48,47,22,6,4,3.916666667,1.833333333,0.5,10,10,0,1,0,0,0,3,5,0.043478261,0.043478261,0,0.004347826,0,0,0,0.013043478,0.02173913
177119.txt,P4,ZHO,medium,325,17,79,64,39,2,4.647058824,3.764705882,2.294117647,0.117647059,21,6,0,0,0,2,0,1,7,0.064615385,0.018461538,0,0,0,0.006153846,0,0.003076923,0.021538462
178549.txt,P5,ZHO,medium,330,22,88,59,31,15,4,2.681818182,1.409090909,0.681818182,22,3,0,0,0,1,2,6,8,0.066666667,0.009090909,0,0,0,0.003030303,0.006060606,0.018181818,0.024242424
178774.txt,P5,ZHO,medium,323,17,88,59,24,14,5.176470588,3.470588235,1.411764706,0.823529412,29,3,1,1,2,0,0,4,1,0.089783282,0.009287926,0.003095975,0.003095975,0.00619195,0,0,0.012383901,0.003095975
179145.txt,P2,ZHO,low,41,2,12,9,4,1,6,4.5,2,0.5,2,1,0,0,0,0,0,0,0,0.048780488,0.024390244,0,0,0,0,0,0,0
180798.txt,P5,ZHO,medium,425,16,133,54,42,13,8.3125,3.375,2.625,0.8125,29,14,1,3,1,0,0,3,6,0.068235294,0.032941176,0.002352941,0.007058824,0.002352941,0,0,0.007058824,0.014117647
181463.txt,P7,ZHO,medium,260,15,60,51,20,10,4,3.4,1.333333333,0.666666667,15,2,0,0,1,0,0,3,4,0.057692308,0.007692308,0,0,0.003846154,0,0,0.011538462,0.015384615
182475.txt,P5,ZHO,high,337,19,91,66,34,7,4.789473684,3.473684211,1.789473684,0.368421053,10,9,0,3,0,0,0,2,7,0.029673591,0.026706231,0,0.008902077,0,0,0,0.005934718,0.020771513
184501.txt,P8,ZHO,medium,351,15,65,78,24,10,4.333333333,5.2,1.6,0.666666667,25,4,0,2,0,0,1,6,5,0.071225071,0.011396011,0,0.005698006,0,0,0.002849003,0.017094017,0.014245014
187564.txt,P3,ZHO,high,401,13,80,96,41,9,6.153846154,7.384615385,3.153846154,0.692307692,15,3,0,5,0,6,2,6,9,0.037406484,0.007481297,0,0.012468828,0,0.014962594,0.004987531,0.014962594,0.02244389
188996.txt,P3,ZHO,medium,345,13,92,71,33,4,7.076923077,5.461538462,2.538461538,0.307692308,19,7,1,1,0,1,0,2,3,0.055072464,0.020289855,0.002898551,0.002898551,0,0.002898551,0,0.005797101,0.008695652
190711.txt,P6,ZHO,high,406,18,64,81,31,14,3.555555556,4.5,1.722222222,0.777777778,20,6,0,0,2,0,0,6,7,0.049261084,0.014778325,0,0,0.004926108,0,0,0.014778325,0.017241379
195811.txt,P3,ZHO,medium,313,16,76,54,38,1,4.75,3.375,2.375,0.0625,14,7,1,4,1,0,0,2,7,0.044728435,0.022364217,0.003194888,0.012779553,0.003194888,0,0,0.006389776,0.022364217
195844.txt,P6,ZHO,medium,417,28,102,65,38,13,3.642857143,2.321428571,1.357142857,0.464285714,31,9,6,0,0,0,0,4,4,0.074340528,0.021582734,0.014388489,0,0,0,0,0.009592326,0.009592326
198024.txt,P3,ZHO,medium,282,18,65,56,23,5,3.611111111,3.111111111,1.277777778,0.277777778,13,2,0,1,0,0,1,1,17,0.046099291,0.007092199,0,0.003546099,0,0,0.003546099,0.003546099,0.060283688
198284.txt,P2,ZHO,medium,330,11,72,62,34,6,6.545454545,5.636363636,3.090909091,0.545454545,13,3,0,0,0,0,0,6,7,0.039393939,0.009090909,0,0,0,0,0,0.018181818,0.021212121
198874.txt,P5,ZHO,medium,306,16,91,50,36,9,5.6875,3.125,2.25,0.5625,18,4,1,2,0,0,0,0,1,0.058823529,0.013071895,0.003267974,0.006535948,0,0,0,0,0.003267974
199088.txt,P5,ZHO,high,450,25,109,79,52,8,4.36,3.16,2.08,0.32,24,8,2,1,0,0,0,4,5,0.053333333,0.017777778,0.004444444,0.002222222,0,0,0,0.008888889,0.011111111
201296.txt,P3,ZHO,high,315,15,74,67,25,5,4.933333333,4.466666667,1.666666667,0.333333333,13,3,0,2,3,0,0,3,9,0.041269841,0.00952381,0,0.006349206,0.00952381,0,0,0.00952381,0.028571429
203098.txt,P6,ZHO,high,396,23,100,79,28,13,4.347826087,3.434782609,1.217391304,0.565217391,17,15,7,6,3,0,0,4,6,0.042929293,0.037878788,0.017676768,0.015151515,0.007575758,0,0,0.01010101,0.015151515
205833.txt,P3,ZHO,high,392,26,99,71,39,7,3.807692308,2.730769231,1.5,0.269230769,14,10,1,2,3,0,0,4,7,0.035714286,0.025510204,0.00255102,0.005102041,0.007653061,0,0,0.010204082,0.017857143
209743.txt,P2,ZHO,high,342,17,79,68,46,3,4.647058824,4,2.705882353,0.176470588,27,3,0,2,0,0,0,4,4,0.078947368,0.00877193,0,0.005847953,0,0,0,0.011695906,0.011695906
214973.txt,P8,ZHO,low,399,25,92,94,31,20,3.68,3.76,1.24,0.8,13,13,2,0,1,0,0,8,5,0.032581454,0.032581454,0.005012531,0,0.002506266,0,0,0.020050125,0.012531328
215276.txt,P6,ZHO,low,209,11,47,44,20,10,4.272727273,4,1.818181818,0.909090909,15,7,2,0,0,0,0,0,1,0.071770335,0.033492823,0.009569378,0,0,0,0,0,0.004784689
